1,"Egg and Bacon",
2,"Egg, sausage and Bacon",
3,"Egg and Spam",
4,"Spam Egg Sausage and Spam",
5,"Egg, Bacon and Spam",
6,"Egg, Bacon, sausage and Spam",
7,"Spam, Bacon, sausage and Spam",
8,"Spam, Egg, Spam, Spam, Bacon and Spam",
9,"Spam, Spam, Spam, Egg and Spam",
10,"Spam, Spam, Spam, Spam, Spam, Spam, Spam, baked beans, Spam, Spam, Spam and Spam",
11,"Lobster Thermidor", "Lobster Thermidor aux crevettes with a Mornay sauce, served in a Provencale manner with shallots and aubergines, garnished with truffle pâté, brandy and a fried egg on top and Spam"
